Eviction ID,Address,City,State,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Shape,data_as_of,data_loaded_at,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Neighborhoods,DELETE - Police Districts,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Zip Codes,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,Fix It Zones as of 2018-02-07,Neighborhoods
M151574,400 Block Of Serrano Drive,San Francisco,CA,94132,06/25/2015,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,7,Lakeshore,"(37.719027851, -122.482266823)",POINT (-122.482266823 37.719027851),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,42,10,8,16,14,8,4,1,64,,,2,,,42
E991274,700 Block Of 47th Avenue,San Francisco,CA,94121,07/07/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,1,Outer Richmond,"(37.7742887, -122.508025373)",POINT (-122.508025373 37.7742887),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,8,8,4,29,26,6,2,11,55,,,1,,,8
E981590,1000 Block Of Union Street,San Francisco,CA,94133,07/14/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,3,Russian Hill,"(37.79951661, -122.416115614)",POINT (-122.416115614 37.79951661),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,107,6,3,32,32,1,10,5,308,,,1,,,107
M201559,800 Block Of Lombard Street,San Francisco,CA,94133,10/26/2020,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,3,Russian Hill,"(37.802461767, -122.415491758)",POINT (-122.415491758 37.802461767),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,107,6,3,32,32,1,10,5,308,,,1,,,107
E981504,2000 Block Of Hayes Street,San Francisco,CA,94117,07/01/1998,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,5,Lone Mountain/USF,"(37.773366014, -122.450138887)",POINT (-122.450138887 37.773366014),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,24,7,11,18,16,5,11,15,29492,,,1,,,24
E991287,0 Block Of Shotwell Street,San Francisco,CA,94103,07/08/1999,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,9,Mission,"(37.767667105, -122.416696931)",POINT (-122.416696931 37.767667105),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,53,3,2,20,19,4,7,8,28853,,,2,,14,53
E982471,100 Block Of Chattanooga Street,San Francisco,CA,94114,10/21/1998,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,8,Noe Valley,"(37.754165147, -122.426486956)",POINT (-122.426486956 37.754165147),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,52,3,5,22,22,4,5,2,28862,,,1,,,52
M210391,400 Block Of Turk Street,San Francisco,CA,94102,03/22/2021,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,"(37.782448498, -122.416327441)",POINT (-122.416327441 37.782448498),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,20,5,10,36,36,10,9,7,28852,6,1,2,1,18,20
M172163,0 Block Of Turk Street,San Francisco,CA,94102,08/24/2017,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,5,Tenderloin,"(37.783388956, -122.409832446)",POINT (-122.409832446 37.783388956),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,20,5,10,36,36,10,9,14,28852,6,1,2,1,18,20
M211402,5100 Block Of Diamond Heights Boulevard,San Francisco,CA,94131,09/27/2021,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,8,Noe Valley,"(37.746819694, -122.44038062)",POINT (-122.44038062 37.746819694),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,57,3,5,22,22,4,5,2,63,,,1,,,57
E980810,0 Block Of Pearl Street,San Francisco,CA,94103,04/20/1998,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,8,Mission,"(37.771019262, -122.423870548)",POINT (-122.423870548 37.771019262),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,27,1,5,20,19,2,5,8,28853,,,2,,,27
M191589,0 Block Of 06th Street,San Francisco,CA,94103,07/12/2019,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,6,South of Market,"(37.781145862, -122.409026046)",POINT (-122.409026046 37.781145862),2025/07/16 12:00:00 AM,2025/07/16 05:13:00 AM,32,5,10,34,34,2,9,14,28853,7,1,2,1,6,32
